"winner: 420,000 $AWE"
G1q4dtcH****uU2N7J4u

silver: 24706 $AWE
3tVusTQr****QFvgxVQM
485SrUQR****bEbCSc3f
493qjjgk****R41aUvgH
5Mk7jspy****V3iDYeXL
5QBUrSj8****D5mexFQa
66kMaQAt****Yz6TdauA
6BvFJmTo****SiimcAFt
6cUnjhbA****qpkEdT3Y
6eJtEfNP****a22nMFDN
6HftuSZe****dcVkEZuZ
6JA7jhSz****PbPJjK7U
77Kyt4NP****W8pogHsa
7tN7gUjd****Bir3SGp9
8CcGUNhF****u8KfbUQH
8GJ2ce3j****X6AiM6Qz
8iet5PX6****JuFK243j
8Sc32iCf****UhvHrAJN
AFvcmK7w****9jfQ5mnG
Bo4YmBtA****mdVQoQ6k
BrgktLnN****8ZXwp3Eu
BsLdmeU6****BZY9eQSC
BwJwHkwf****C29b7Q9e
DwnT4f6C****TpuR2oUi
E8pj89aP****byu467g3
E9cnv6A5****Qm6rKZoU
EMpYptnd****zzRZuP65
F1tpL7Jz****5nNht4TJ
FGeiNmCv****L7YLcr51
Fx5uwxgj****d9EvFk9b
GFSrSjAN****e4XrK2dt
GxRMwJx2****fT3y1QDg
H6vxrLKn****w6xE5TA2
HBmGtp7u****ikE9s4W4
HghYvg4G****qS6WvQxm

bronze: 9131 $AWE
249EbTf2****x53HWKwc
2hCVofgL****x81C7VNS
2KQKDA9R****RPSAzB8C
2KrorMYD****fZiefmrV
2nC77YuY****yHcdVeEY
2TPqQajp****YfnQHKSj
2WtFvv33****HSTgcDNc
2XYZQwWD****somE8ipB
2zqn82m7****6ZgwWCD7
2ZrjeT3z****unGUXEFM
2zXZt3kb****WGeJ99Mp
31Zeoe3f****WTgTjwm2
37EsxH5d****KxT6Ch1m
37skqYup****qmuzAo94
3AV9TiNX****gpjNmvXw
3bBSWvnK****ZEB1eRzZ
3ec39xGY****mytvoeB1
3gMSRikL****EnSzmtzb
3hrCNkW5****ND22MKEQ
3MqG15cn****SXVLKEm3
3q1nUC6F****qiDwBKQs
3qawMtYt****4H3BRLK4
3sh7cH1Q****HnwGiauD
3VoZ5UJW****jTgvEgK1
48eVSJQj****N3Q7sQSV
4bUFJ6Qj****MDDgRTQd
4dZgNQJk****7xTDRZGF
4kf51EnK****zF5TCUbZ
4pwaP8DQ****A8HRWVoQ
4TKnQjKs****8D6CgLHR
53EWC7Cv****auWVzehP
58ZUg9UH****LDvd3LnC
5eUordLr****ENY9fyGD
5KUBVRfm****r2bUdR6U
